feature_num,timestamp,feature_lst,id
15,2024-11-24 23:01:43.922015,"['close', 'vwap', 'ALMA_14', 'BB_SMA_20', 'BB_UPPER_20', 'BB_LOWER_20', 'BB_WIDTH_20', 'BB_Z_SCORE_20', 'RSI_14', 'ATR_14', 'ATRP_14', 'ADX_14', 'edt_dayofweek', 'edt_scaled', 'is_core_time']",0
17,2024-12-14 13:59:50.476338,"['close', 'Dividends', 'Stock Splits', 'vwap', 'ALMA_14', 'BB_SMA_20', 'BB_UPPER_20', 'BB_LOWER_20', 'BB_WIDTH_20', 'BB_Z_SCORE_20', 'RSI_14', 'ATR_14', 'ATRP_14', 'ADX_14', 'edt_dayofweek', 'edt_scaled', 'is_core_time']",0
16,2024-12-14 14:55:12.550957,"['close', 'Adj Close', 'vwap', 'ALMA_14', 'BB_SMA_20', 'BB_UPPER_20', 'BB_LOWER_20', 'BB_WIDTH_20', 'BB_Z_SCORE_20', 'RSI_14', 'ATR_14', 'ATRP_14', 'ADX_14', 'edt_dayofweek', 'edt_scaled', 'is_core_time']",0
